"Agente / Vertical","Atención Cliente","Soporte Técnico","Ventas/Marketing","RRHH","Finanzas/Legal","Industria/Producción","Logística/Transporte","Educación/Formación","Salud/Medicina","Servicios Públicos / Smart Cities","Comercio Electrónico/Retail","Eventos/Ocio"
"Agente de Atención al Cliente","10","5","7","4","3","3","6","4","5","5","8","6"
"Agente de Soporte Técnico","6","10","4","3","3","7","6","3","5","4","5","4"
"Agente de Ventas","5","3","10","2","4","3","5","3","3","4","9","5"
"Agente de Gestión de Pedidos","4","3","6","2","4","5","7","2","3","3","9","3"
"Agente de Seguimiento de Envíos","3","2","5","1","3","5","10","1","2","3","8","2"
"Agente de Gestión de Inventarios","3","2","4","1","3","9","9","1","2","3","7","2"
"Agente de Reservas y Citas","6","3","4","4","2","3","4","7","3","5","8","7"
"Agente de FAQs Automatizadas","8","6","6","5","4","4","5","4","5","5","7","5"
"Agente de Chat Multilingüe","8","5","6","4","3","3","5","3","5","6","7","5"
"Agente Asistente de Recursos Humanos","4","3","3","10","5","2","3","4","2","3","3","3"
"Agente de Reclutamiento y Selección","3","2","2","10","3","2","2","5","2","3","2","3"
"Agente de Evaluación de Satisfacción","9","5","6","5","4","3","4","4","5","5","7","5"
"Agente de Monitoreo de Redes Sociales","5","3","8","3","3","3","4","3","4","4","7","6"
"Agente de Análisis de Sentimientos","5","3","8","3","3","3","4","3","4","4","7","6"
"Agente de Generación de Reportes","4","4","4","4","7","6","6","4","5","5","5","4"
"Agente de Gestión de Proyectos","5","5","5","4","6","7","7","6","5","5","6","5"
"Agente de Notificaciones y Alertas","6","6","5","4","6","6","8","4","5","6","6","5"
"Agente de Gestión de Incidentes","5","10","3","3","4","8","6","3","5","4","4","3"
"Agente de Soporte para Aplicaciones Móviles","5","9","4","3","3","4","5","4","4","4","5","4"
"Agente de Consultas Médicas Básicas","6","4","3","3","3","3","3","3","10","3","3","3"
"Agente para Educación y Tutorías Virtuales","5","3","3","4","2","3","3","10","4","4","4","4"
"Agente Legal para Consultas Iniciales","3","3","3","3","10","2","3","3","2","3","3","3"
"Agente Financiero para Consultas Bancarias","3","3","4","3","10","3","4","3","3","3","3","3"
"Agente de Gestión de Facturación","3","3","3","3","10","3","4","3","3","3","3","3"
"Agente de Automatización de Marketing","4","3","10","2","4","3","5","3","3","4","9","5"
"Agente de Control y Seguimiento de Calidad","3","6","3","3","4","10","5","3","3","4","3","3"
"Agente de Gestión de Energía y Recursos","3","4","3","2","4","8","5","2","2","8","3","3"
"Agente para Soporte en eCommerce","7","5","8","3","4","4","6","3","4","5","10","5"
"Agente de Administración de Contratos","3","3","3","3","10","3","3","3","3","3","3","3"
"Agente para Integración con CRM","6","4","8","3","4","3","6","3","4","5","8","4"
"Agente para Soporte en Telecomunicaciones","4","9","4","3","3","5","7","3","4","4","5","4"
"Agente de Gestión de Documentos Digitales","5","4","4","4","7","6","6","4","4","5","5","4"
"Agente de Consulta y Soporte Técnico IoT","5","10","3","3","3","7","6","3","4","4","4","3"
"Agente para Seguridad y Control de Accesos","3","7","3","3","6","7","6","3","3","7","4","3"
"Agente de Gestión de Flotas y Logística","4","5","4","2","4","7","10","2","3","4","6","3"
"Agente para Gestión de Reservas en Hoteles","6","3","4","4","3","3","4","7","3","5","8","7"
"Agente de Gestión de Eventos","5","3","4","4","3","3","3","5","3","4","5","9"
"Agente de Soporte para Plataformas de Streaming","5","4","5","3","3","3","3","4","3","4","5","9"
"Agente de Control de Producción Industrial","3","6","3","2","4","10","5","2","3","4","3","3"
"Agente para Asistencia en Restaurantes","6","3","4","3","3","3","4","3","3","4","6","8"
"Agente de Monitoreo Ambiental","4","3","3","2","4","4","4","2","2","9","3","3"
"Agente de Soporte en Siniestros y Seguros","5","5","3","3","6","5","5","3","4","5","5","4"
"Agente para Soporte en Fabricación Naval (Navantia)","3","7","3","2","4","10","4","2","3","3","3","3"
"Agente de Evaluación de Riesgos","4","5","4","3","8","7","5","3","5","6","5","4"
"Agente para Asistencia en Smart Cities","4","3","3","2","4","4","5","2","3","10","3","3"
"Agente para Soporte en Educación Superior","5","3","4","4","3","3","3","10","4","4","4","4"
"Agente para Gestión de Viajes Corporativos","5","4","5","3","4","4","7","3","4","4","6","5"
"Agente para Soporte en Servicios Públicos","4","3","3","2","4","3","4","2","3","8","3","3"
"Agente de Soporte Legal para Empresas","3","3","3","3","10","2","3","3","3","3","3","3"
"Agente para Automatización de Operaciones Administrativas","5","4","5","4","6","5","6","4","4","5","6","5"
